Turkish,English
bir,a
bu,This 
ne,What
ve,and
için,for  
mi,mi
de,also
o,he is
ben,I
çok,lots
ama,but
evet,Yeah
var,there is
da,in
mı,is it
değil,not
şey,thing
hayır,no  
daha,more    
sen,joyful
kadar,until
bana,to me
gibi,like
bunu,this
yok,none 
onu,him-her-it
iyi,good
tamam,ok
beni,me  
seni,you
benim,Mine
her,each
sana,to you   
ki,that
neden,why
ya,or
sadece,only
zaman,time
senin,your
burada,here
olduğunu,that
nasıl,How
hiç,none
sonra,Then
şimdi,now
en,most
öyle,so 
mu,is it
şu,this
misin,will you
önce,before
biraz,a little
hadi,come on
güzel,beautiful
musun,are you
oldu,happened
yani,well
ona,him
böyle,like this
İyi,Good   
onun,her
bile,even    
lütfen,please   
bak,look
eğer,if
peki,alright
çünkü,because
artık,now    
gerçekten,really
geri,back
biliyorum,I know
istiyorum,I want
kim,who
başka,other
olarak,aspect
belki,maybe
tek,only
doğru,TRUE
büyük,big
olan,the one which...
biri,somebody
bay,Mr
buraya,here
olur,It is possible
in,of
adam,man
ile,with
olacak,it will be
hey,Hey
hiçbir,no
biz,we
demek,means
sanırım,I guess
yardım,help
ın,of
bilmiyorum,I do not know
bunun,this
teşekkürler,thanks
tüm,all
gün,day
yeni,new
fazla,more
ederim,thank you
nerede,where
tanrım,God
merhaba,Hello there
efendim,sir
a,A
şeyi,thing
orada,there
gece,night
son,end
kötü,bad
şeyler,things
biliyor,he knows
harika,wonderful
iki,two
sorun,problem
et,meat
İşte,Request
bütün,all
tam,full
gerek,necessary
siz,you 
diye,saying
hemen,now
ol,die
üzgünüm,I am sad
küçük,small
olabilir,it could be
olsun,never mind
i,I
size,to you
bayan,Lady
aynı,same
hakkında,about
teşekkür,Thanks
gel,come
tabii,of course
yüzden,so
onları,Them 
kız,girl
kendi,own
devam,continue
nin,n
bize,to us
e,to
ver,give
oluyor,is happening
izin,permission
iş,business
bizi,we
buna,this
selam,hi
anne,mom
vardı,there
bizim,ours
geldi,came
sizi,you
baba,father
dur,Stop
aslında,actually
seninle,with you
asla,never
göre,according to
kimse,nobody
özür,apology
değilim,I am not
oh,oh
önemli,important
git,go
hala,still
işte,Request
tekrar,again
yoksa,or?
içinde,inside
nın,nin
benimle,with me
mısın,will you
mü,is it
yine,still
bence,in my opinion
haydi,lets
şekilde,in the way
olmak,be
bugün,today
söyle,say
pekala,ok
birlikte,together
para,money
olmaz,it is not possible
uzun,long
onunla,with him
bakalım,let's see
zaten,already
biliyorsun,you know
ilk,first
al,get
geliyor,coming
lazım,required
dostum,mate
üç,three
dakika,minute
onlar,them
gerçek,real
emin,sure
birkaç,a few 
herkes,everyone
saat,hour
söyledi,told
istiyorsun,you want
ister,whether...or
pek,much
yapıyorsun,you do
eve,home
miyim,am I
ı,I
yıl,year
çocuk,child
hep,always
şunu,that
neler,what
yer,Location
dilerim,I wish
sizin,yours
bekle,wait
bırak,leave
olduğu,is
ilgili,relating to
gidelim,lets go
nedir,why
yere,to the ground
etmek,to make
dan,from
olmalı,must be
kaç,how much?
istemiyorum,I don't want
nereye,to where?
lanet,curse
hepsi,all
un,Fame
buradan,from here
an,moment
burası,here
az,little
karşı,against
çocuklar,Children
eski,old
hazır,ready
kendini,self
gerekiyor,needed
ediyorum,I'm
fakat,but
kesinlikle,definitely
benden,from me
kadın,woman
söz,promise
yapmak,make
tane,unit
zor,difficult
işe,if
anda,at the moment
diğer,other
dinle,listen
işi,heat
bunlar,these
görmek,to see
kişi,person
niye,why
kabul,acceptance
seviyorum,I like
istiyor,wants
aman,Oh
misiniz,Are you
yarın,tomorrow
zorunda,must
tanrı,God
bundan,from this
kez,times
İki,Two
sağ,right
elbette,of course
gidip,go and go
falan,like
tatlım,sweetie
yanlış,false
hoş,pleasant
hem,both
senden,from you
onlara,to them
doktor,doctor
hafta,week
özel,special
yemek,food
yapma,don't do that
kontrol,control
oraya,to there
gereken,required
yerde,on the ground
ediyor,in
